ImageID,Clusters,Filter size,Sigma,Unique Colours,Chosen,Pixels
donald,8,7,0.43,42818,0,360000
donald,17,7,0.32,42818,1,360000
donald,20,7,0.45,42818,1,360000
donald,15,7,0.33,42818,1,360000
donald,10,7,0.35,42818,0,360000
donald,16,7,0.23,42818,0,360000
52598520_2505226136158252_8382256675377119232_n,11,7,0.45,25668,0,614400
52598520_2505226136158252_8382256675377119232_n,16,7,0.46,25668,0,614400
52598520_2505226136158252_8382256675377119232_n,18,7,0.22,25668,0,614400
52598520_2505226136158252_8382256675377119232_n,17,7,0.25,25668,0,614400
52598520_2505226136158252_8382256675377119232_n,14,7,0.35,25668,0,614400
52598520_2505226136158252_8382256675377119232_n,9,7,0.48,25668,0,614400
ash,10,7,0.3,56775,0,735232
ash,9,7,0.22,56775,0,735232
ash,8,7,0.49,56775,0,735232
ash,16,7,0.45,56775,0,735232
ash,20,7,0.23,56775,0,735232
ash,7,7,0.2,56775,0,735232
astro,7,7,0.3,31616,0,234663
astro,6,7,0.2,31616,0,234663
astro,5,7,0.24,31616,0,234663
astro,15,7,0.41,31616,0,234663
astro,16,7,0.47,31616,0,234663
astro,10,7,0.37,31616,0,234663
bogata,20,7,0.27,253597,0,2440320
bogata,12,7,0.24,253597,0,2440320
bogata,5,7,0.37,253597,0,2440320
bogata,15,7,0.46,253597,0,2440320
bogata,18,7,0.3,253597,0,2440320
bogata,6,7,0.42,253597,0,2440320
david,20,7,0.38,40663,0,1166400
david,18,7,0.44,40663,0,1166400
david,15,7,0.35,40663,0,1166400
david,10,7,0.42,40663,0,1166400
david,8,7,0.47,40663,0,1166400
david,5,7,0.27,40663,0,1166400
donald,8,7,0.44,42818,0,360000
donald,14,7,0.46,42818,0,360000
donald,5,7,0.45,42818,0,360000
donald,16,7,0.2,42818,0,360000
donald,20,7,0.41,42818,0,360000
donald,13,7,0.49,42818,0,360000
family,8,9,0.32,95179,0,716800
family,5,9,0.21,95179,0,716800
family,19,9,0.2,95179,0,716800
family,17,9,0.42,95179,0,716800
family,9,9,0.31,95179,0,716800
family,18,9,0.38,95179,0,716800
horse,20,9,0.26,83838,0,535824
horse,8,9,0.35,83838,0,535824
horse,6,9,0.47,83838,0,535824
horse,15,9,0.41,83838,0,535824
horse,16,9,0.36,83838,0,535824
horse,7,9,0.42,83838,0,535824
hulk,13,7,0.29,40215,0,2073600
hulk,18,7,0.33,40215,0,2073600
hulk,14,7,0.39,40215,0,2073600
hulk,12,7,0.26,40215,0,2073600
hulk,5,7,0.23,40215,0,2073600
hulk,19,7,0.22,40215,0,2073600
london,19,7,0.38,349874,0,3849600
london,15,7,0.49,349874,0,3849600
london,18,7,0.39,349874,0,3849600
london,5,7,0.27,349874,0,3849600
london,17,7,0.32,349874,0,3849600
london,14,7,0.23,349874,0,3849600
race,8,7,0.29,113383,0,1500000
race,12,7,0.28,113383,0,1500000
race,14,7,0.23,113383,0,1500000
race,16,7,0.36,113383,0,1500000
race,15,7,0.21,113383,0,1500000
race,10,7,0.43,113383,0,1500000
Vulture,9,9,0.45,90015,0,2052800
Vulture,10,9,0.46,90015,0,2052800
Vulture,17,9,0.43,90015,0,2052800
Vulture,15,9,0.24,90015,0,2052800
Vulture,19,9,0.38,90015,0,2052800
Vulture,20,9,0.47,90015,0,2052800
david,19,7,0.5,40663,0,1166400
david,11,7,0.39,40663,0,1166400
david,6,7,0.38,40663,0,1166400
david,5,7,0.27,40663,0,1166400
david,9,7,0.22,40663,0,1166400
david,20,7,0.32,40663,0,1166400
david,10,7,0.33,40663
david,5,7,0.33,40663
557805_10151283878718322_818746235_n,12,7,0.27,107244,0,691200
557805_10151283878718322_818746235_n,17,7,0.41,107244,0,691200
557805_10151283878718322_818746235_n,13,7,0.24,107244,0,691200
557805_10151283878718322_818746235_n,9,7,0.23,107244,0,691200
557805_10151283878718322_818746235_n,16,7,0.31,107244,0,691200
557805_10151283878718322_818746235_n,10,7,0.44,107244,0,691200
557805_10151283878718322_818746235_n,16,7,0.45,107244,0,691200
557805_10151283878718322_818746235_n,9,7,0.22,107244,0,691200
557805_10151283878718322_818746235_n,13,7,0.31,107244,0,691200
557805_10151283878718322_818746235_n,18,7,0.29,107244,0,691200
557805_10151283878718322_818746235_n,12,7,0.35,107244,0,691200
557805_10151283878718322_818746235_n,10,7,0.45,107244,0,691200
557805_10151283878718322_818746235_n,19,7,0.36,107244,0,691200
557805_10151283878718322_818746235_n,11,7,0.49,107244,0,691200
557805_10151283878718322_818746235_n,9,7,0.24,107244,0,691200
557805_10151283878718322_818746235_n,16,11,0.28,107244,0,691200
557805_10151283878718322_818746235_n,15,111,0.2,107244,0,691200
557805_10151283878718322_818746235_n,16,11,0.35,107244,0,691200
557805_10151283878718322_818746235_n,5,11,0.44,107244,0,691200
557805_10151283878718322_818746235_n,9,11,0.33,107244,0,691200
557805_10151283878718322_818746235_n,19,11,0.23,107244,0,691200
557805_10151283878718322_818746235_n,20,11,0.25,107244,0,691200
557805_10151283878718322_818746235_n,10,11,0.46,107244,0,691200
horse,13,9,0.39,83838,0,535824
horse,19,9,0.29,83838,0,535824
horse,18,9,0.21,83838,0,535824
horse,11,9,0.2,83838,0,535824
horse,10,9,0.31,83838,0,535824
horse,20,9,0.34,83838,0,535824
horse,15,9,0.49,83838,0,535824
horse,8,9,0.2,83838,0,535824
horse,9,9,0.45,83838,0,535824
horse,17,9,0.42,83838,0,535824
horse,11,9,0.23,83838,0,535824
horse,16,9,0.33,83838,0,535824
ash,7,7,0.5,56775
ash,5,7,0.5,56775
ash,10,7,0.33,56775
ash,10,7,0.5,56775
236734357_599531324542194_7089008933988306240_n,5,7,0.5,72058
236734357_599531324542194_7089008933988306240_n,20,7,0.5,72058
236734357_599531324542194_7089008933988306240_n,14,7,0.44,72058,0,937920
236734357_599531324542194_7089008933988306240_n,17,7,0.22,72058,0,937920
236734357_599531324542194_7089008933988306240_n,5,7,0.37,72058,0,937920
236734357_599531324542194_7089008933988306240_n,15,7,0.35,72058,0,937920
pvh-160808-rio-0384-,10,9,0.5,91230
pvh-160808-rio-0384-,12,9,0.42,91230,0,11182080
pvh-160808-rio-0384-,10,9,0.33,91230
pvh-160808-rio-0384-,5,9,0.37,91230,0,11182080
pvh-160808-rio-0384-,9,9,0.29,91230,0,11182080
pvh-160808-rio-0384-,10,9,0.48,91230,0,11182080
236664016_498008784611909_4004820843036826938_n,11,7,0.4,40305,0,504100
236664016_498008784611909_4004820843036826938_n,8,7,0.22,40305,0,504100
236664016_498008784611909_4004820843036826938_n,19,7,0.34,40305,0,504100
236664016_498008784611909_4004820843036826938_n,14,7,0.48,40305,0,504100
236664016_498008784611909_4004820843036826938_n,9,7,0.28,40305,0,504100
236664016_498008784611909_4004820843036826938_n,11,7,0.26,40305,0,504100
236664016_498008784611909_4004820843036826938_n,15,7,0.34,40305,0,504100
236664016_498008784611909_4004820843036826938_n,8,7,0.4,40305,0,504100
236664016_498008784611909_4004820843036826938_n,20,7,0.23,40305,0,504100
236664016_498008784611909_4004820843036826938_n,9,7,0.4,40305,0,504100
236664016_498008784611909_4004820843036826938_n,14,7,0.32,40305,0,504100
236664016_498008784611909_4004820843036826938_n,19,7,0.29,40305,0,504100
236664016_498008784611909_4004820843036826938_n,15,7,0.5,40305
